Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,ATC LEVEL,Is Drug Class,Semantic type UMLS property,ontology_type,cui_is_duplicate
D11AX06,mequinol,,,False,C0048318,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/D11AX,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
J05AC02,rimantadine,,,False,C0035629,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/J05AC,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
R02AB01,neomycin,,,False,C0027603,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T195,http://purl.bioontology.org/ontology/ATC/R02AB,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T195,ATC,True
D10AX02,resorcinol,,,False,C0073085,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/D10AX,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,True
D10AF01,clindamycin,,,False,C0008947,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T195,http://purl.bioontology.org/ontology/ATC/D10AF,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T195,ATC,True
C01BC09,ethacizine,,,False,C0059688,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/C01BC,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
N04AA04,procyclidine,,,False,C0033254,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/N04AA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
N05CA09,vinbarbital,,,False,C0301408,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/N05CA,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
A01AB18,clotrimazole,,,False,C0009074,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/A01AB,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,True
R03AH,Combinations of adrenergics,,,False,C3653685,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/R03A,4.0,Y,http://purl.bioontology.org/ontology/STY/T121,ATC,False
R02AA14,oxyquinoline,,,False,C0000665,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T130,http://purl.bioontology.org/ontology/ATC/R02AA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T130,ATC,True
A16AB04,agalsidase beta,,,False,C1137427,http://purl.bioontology.org/ontology/STY/T126|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,http://purl.bioontology.org/ontology/ATC/A16AB,5.0,,http://purl.bioontology.org/ontology/STY/T126|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,ATC,False
A08AA62,bupropion and naltrexone,,,False,C3858054,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/A08AA,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
R05CB,Mucolytics,,,False,C0026698,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/R05C,4.0,Y,http://purl.bioontology.org/ontology/STY/T121,ATC,False
M02AA01,phenylbutazone,,,False,C0031463,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/M02AA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,True
J07AP03,"typhoid, purified polysaccharide antigen",,,False,C3652525,http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/J07AP,5.0,,http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T121,ATC,False
N02BA08,morpholine salicylate,,,False,C0771612,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/N02BA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
P02BB01,metrifonate,,,False,C0040898,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T131,http://purl.bioontology.org/ontology/ATC/P02BB,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T131,ATC,False
J01XE51,"nitrofurantoin, combinations",,,False,C3871437,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/J01XE,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
A10BB01,glibenclamide,,,False,C0017628,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/A10BB,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
M05BX08,menatetrenone,,,False,C0065936,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T127,http://purl.bioontology.org/ontology/ATC/M05BX,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T127,ATC,False
J04AM,Combinations of drugs for treatment of tuberculosis,,,False,C3653682,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/J04A,4.0,Y,http://purl.bioontology.org/ontology/STY/T121,ATC,False
R03AL12,"indacaterol, glycopyrronium bromide and mometasone",,,False,C5227832,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/R03AL,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
A07EB,"Antiallergic intestinal antiinflammatory drugs, excl. corticosteroids","Antiallergic agents, excl. corticosteroids",,False,C3540701,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/A07E,4.0,Y,http://purl.bioontology.org/ontology/STY/T121,ATC,False
L04AG03,natalizumab,,,False,C1172734,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T116,http://purl.bioontology.org/ontology/ATC/L04AG,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T116,ATC,False
