column,blank_sales_cells,blank_sales_pct
Column6,155174,0.4592346188335499
Column7,154291,0.45662139646105177
Column8,153109,0.4531232890496216
Column9,153097,0.4530877752687949
Column10,152404,0.4510368544260529
Column11,151908,0.4495689514852159
Column12,150700,0.44599389754866126
Column13,150235,0.4446177385416266
Column14,150090,0.4441886136899706
Column15,149979,0.4438601112173236
Column16,148887,0.44062835716209375
Column17,148526,0.43955998425555715
Column18,148285,0.43884674915728755
Column19,147763,0.43730189969132605
Column20,146889,0.43471531265444796
Column21,146877,0.43467979887362124
Column22,146179,0.4326140806222014
Column23,146511,0.43359662855840686
Column24,145934,0.4318890075969896
Column25,145478,0.43053948392557495
Column26,145171,0.4296309230327585
Column27,144895,0.42881410607374437
Column28,144023,0.42623343800033736
Column29,144595,0.42792626155307684
Column30,144808,0.4285566311627508
Column31,143591,0.42495494189057614
Column32,142535,0.42182972917782635
Column33,142475,0.42165216027369284
Column34,142146,0.42067849078269415
Column35,142206,0.42085605968682765
Column36,140583,0.41605282083001627
Column37,140559,0.4159817932683628
Column38,140037,0.4144369438024013
Column39,139614,0.41318508302826007
Column40,138492,0.4098645445209635
Column41,138860,0.410953633799649
Column42,138931,0.41116375700287366
Column43,139046,0.41150409740246285
Column44,138694,0.4104623598315463
Column45,138971,0.411282136272296
Column46,139096,0.4116520714892408
Column47,138872,0.4109891475804757
Column48,138258,0.4091720257948428
Column49,138234,0.4091009982331894
Column50,137661,0.4074052151987144
Column51,137682,0.4074673643151611
Column52,137378,0.4065676818675514
Column53,136915,0.40519744182398776
