dosage,sales_units,n_rows,n_products,n_dosages,n_dosage2_values,n_brands,n_markets,n_quarters
AA TABLETS,5503439939872.0,3242208,1092,1,10,5498,38,48
AB COATED TABLET,5067007467059.0,3532368,878,1,8,4065,38,48
AC CAPSULES,1584483856760.0,1650528,755,1,7,5150,38,48
NG OPHTHALM.LIQ,1495670216006.0,439392,159,1,10,1064,38,48
QG N.TOP LIQUID,1266698442523.0,154416,61,1,9,955,38,48
MG TOPICAL LIQUID,857280703541.0,277776,188,1,17,1726,38,48
RH PRES.AERO.LUNG,785117124237.0,62448,21,1,4,239,38,48
DG ORAL LIQUID,775678819133.0,1103136,759,1,13,3577,38,48
BB COATED RET.TAB,455807729729.0,280368,201,1,5,976,38,48
BA RETARD TABLETS,406249073805.0,212400,207,1,5,963,38,48
MT CREAMS,366260835598.0,324240,197,1,7,1569,38,48
MV TOP GEL/SOL,274258417398.0,157104,161,1,7,1046,38,48
AD SPEC.OR SOLID,274035342177.0,73296,163,1,9,574,38,48
DE PDR/GRN OR.LIQ,211783524378.0,294576,308,1,5,2138,38,48
BC RETARD CAPSULE,200369878690.0,188784,167,1,3,899,38,48
MS OINTMENTS,174657981530.0,168384,170,1,6,1004,38,48
KG ORAL TOP LIQ,168149663716.0,62496,67,1,8,695,38,48
RE PDR/GRN LUNG,136042267367.0,46128,19,1,3,173,38,48
FQ INFUSIONS,134867294379.0,927648,325,1,7,2209,38,48
FM AMPOULES,134106482209.0,781392,460,1,7,2116,38,48
ME TOPICAL POWDER,84915135615.0,14448,49,1,8,190,35,48
RG LUNG ADMIN,80079372846.0,68064,38,1,3,404,38,48
MW MED DRESSINGS,73900378576.0,52608,59,1,10,432,38,48
FP VIAL,72987718117.0,808944,405,1,8,2161,38,48
AE POWDER ORAL,63738529296.0,74592,294,1,6,494,38,48
NS OPHTHALM.OINT.,47104903973.0,36096,45,1,2,233,38,48
PG OTIC LIQUIDS,44057235513.0,18288,41,1,6,228,37,48
VG N-H USE LIQUID,32770900040.0,7392,37,1,4,101,17,48
RC CAP LUNG ADMIN,32528295051.0,28416,20,1,1,154,38,48
JG LIQ OTH.SYST.,29181505453.0,17088,9,1,5,107,38,48
KD ORAL TOP FORMS,28761469795.0,25104,48,1,5,244,38,48
TT VAGINAL CREAM,23167157325.0,21600,26,1,3,208,38,48
NV OPHTH.GEL/SOL,23086585867.0,10368,19,1,3,103,37,48
FN PARENTERALORDINARYPRE-FILLEDSYRINGES,19257667921.0,189840,143,1,10,755,38,48
JW MED DRES SYST,18206724565.0,60768,25,1,2,302,38,48
JV GEL/SOL SYST.,16906152336.0,15984,6,1,3,97,38,48
IG NASAL SYST LIQ,15117890972.0,22512,27,1,4,172,38,48
KS ORAL TOP OINTS,13179373027.0,7968,23,1,2,104,33,48
DK TEAS,12196351798.0,26688,23,1,5,158,27,48
ML SUPPOSITORIES,12093001927.0,28992,26,1,4,329,38,48
HL RECT. SYSTEM. SUPPOSIT.,11995650018.0,69984,90,1,4,413,38,48
MY TOP SPEC FRM,11232746313.0,15936,70,1,6,225,35,48
DH PRESS.AERO.OR.,10141142708.0,2064,5,1,1,31,21,48
QH N.T. PRES.AERO,9497701405.0,6288,15,1,2,88,29,48
DY SPECIAL FORMS,6565554307.0,43200,19,1,2,589,25,48
QV N.TOP GEL/SOL,5673266316.0,2112,8,1,1,23,22,48
KT ORAL TOP CREAM,5551213382.0,2208,14,1,2,22,7,48
DD ORAL SPEC FORM,5258102470.0,1872,19,1,1,29,7,48
KV O.TOP GEL/SOL,4681216978.0,11136,23,1,2,158,33,48
TV VAG GEL/SOL,4432181824.0,9888,19,1,3,114,38,48
BE PDR/GRN RETARD,4277937854.0,6720,11,1,3,58,37,48
TA VAGINAL TABS,3814661433.0,27408,38,1,5,295,38,48
QS N.TOP OINTMENT,3345402213.0,4848,6,1,1,67,31,48
VZ N-H USE M-AID,2765217140.0,101424,25,1,3,1337,27,48
MQ INFUSION EXT.,2592062109.0,18480,24,1,1,136,35,48
TL VAGINAL SUPPOS,2397731349.0,28896,37,1,2,276,36,48
KE O.TOP PWD/GRAN,1919917765.0,2544,14,1,3,48,12,48
QE N.TOP POWDER,1802922668.0,4848,11,1,2,82,24,48
EG OR LIQUID RET,1444424011.0,768,7,1,2,15,6,48
GP VIAL RET,1441637034.0,48048,32,1,5,297,38,48
FR PARENTERAL ORDINARY CARTRIDGES/PENS,1363396187.0,37344,18,1,5,153,38,48
MJ BATHS,1315866454.0,2736,18,1,6,45,13,48
TC VAGINAL CAPS.,1270850878.0,5472,16,1,1,67,35,48
VE N-H USE PD/GRL,1116703943.0,33168,287,1,3,70,17,48
KA ORAL TOP TABS,806552452.0,2496,19,1,5,49,18,48
GM AMPOULES RET,768444101.0,18144,27,1,5,144,38,48
