dosage2,sales_units,n_rows,n_products,n_dosages,n_dosage2_values,n_brands,n_markets,n_quarters
AAA TABLETS,5008978045157.0,2715936,1034,1,1,4871,38,48
ABC FILM-CTD TABS,3970939743759.0,2983968,785,1,1,3560,38,48
NGB DROPS EYE,1305060659612.0,323472,143,1,1,943,38,48
ACA CAPSULES,1228832852924.0,1499664,747,1,1,4973,38,48
RHQ CFC-FREE MDI,623773701977.0,39552,17,1,1,184,38,48
MGA LIQUID.TOPICAL,618704121220.0,106224,114,1,1,1027,38,48
QGP N.TOP M-D LIQ,612913409415.0,77136,36,1,1,459,38,48
ABD ENTERIC-CT TAB,588871966012.0,193104,121,1,1,1345,38,48
ABA COATED TABLETS,480304463810.0,339072,629,1,1,1325,38,48
BAA RET.TABLETS,367101621172.0,193728,199,1,1,917,38,48
MTA CREAM,365040689037.0,311856,197,1,1,1535,38,48
QGB N.TOP DROPS,350936015612.0,25680,23,1,1,307,36,48
ACY OTHER CAPSULES,344552180234.0,135456,54,1,1,1015,38,48
BBC FILM-C TAB RET,340704302464.0,201888,161,1,1,836,38,48
QGC N T SP W/O GAS,287483077290.0,45120,38,1,1,483,37,48
ADD PELLETS,225125941328.0,1344,9,1,1,26,5,48
MVA GEL/SOL TOP.,204869297073.0,144000,152,1,1,990,38,48
DGB DROPS ORAL,200002748125.0,195984,304,1,1,1290,38,48
DGM SYRUP,188951084087.0,221952,264,1,1,1287,38,48
BCA RETARD CAPS,187052227724.0,166464,163,1,1,852,38,48
MSA OINTMENT,172662629492.0,162096,169,1,1,971,38,48
AAB OR DISINTG TAB,160013174505.0,152880,184,1,1,629,38,48
RHP LUNG M-D INHAL,146515251160.0,19872,19,1,1,121,35,48
DEP ORAL U-D PWDR,144928438599.0,240240,270,1,1,1770,38,48
DGA ORAL LIQUID,133457932743.0,263904,469,1,1,1485,38,48
AAG CHEW.TABLETS,131729713524.0,136128,148,1,1,1206,38,48
DGK SUSPENSION,117953207249.0,152112,388,1,1,888,38,48
MGC SPRAY TOPICAL,112006993615.0,33360,82,1,1,429,37,48
REP LUNG M-D PWD,94172006079.0,28560,16,1,1,122,38,48
FMA AMPOULES INJ.,93442206634.0,464544,362,1,1,1621,38,48
AAK SOLUBLE TABS.,92538789096.0,79536,207,1,1,671,38,48
FQC INFUS.VIA/BOT.,86621456729.0,442176,204,1,1,1376,38,48
NGQ OPH PSV-F MU-D,79304807218.0,20544,59,1,1,134,35,48
MEK TOP SOL POWDER,79141323819.0,2784,14,1,1,50,17,48
KGC O T SP W/O GAS,73935985897.0,15120,40,1,1,216,37,48
MGS LOTIONS,70787749846.0,43344,94,1,1,373,38,48
AAH EFFERV.TABLETS,70280724195.0,92016,137,1,1,680,37,48
KGA O.TOP LIQUID,68872972810.0,39168,51,1,1,548,38,48
MVL TOP EMUL GELS,66275728915.0,6288,11,1,1,84,34,48
DEK SOLUBLE POWDER,63865089742.0,51456,124,1,1,604,38,48
MWA PLASTER W SUB,61409531125.0,29136,34,1,1,268,38,48
DGJ DRY SYRUP/DROP,57239154061.0,132624,110,1,1,735,38,48
BBA RET.COATED TAB,56966555506.0,38688,112,1,1,292,38,48
NGK OPH SUSPENSION,54847346768.0,18576,19,1,1,157,38,48
RGN LUNG U-D LIQ,51562500828.0,52848,26,1,1,317,38,48
FPB VIAL DRY,50627387592.0,491520,264,1,1,1625,38,48
BBN RT.MEMB CT TAB,47702769551.0,29088,24,1,1,211,38,48
NSA OPHT OINTMENTS,47091836210.0,35712,45,1,1,230,38,48
NGN OPHTH U-D LIQ,46629065256.0,69744,77,1,1,321,38,48
REM U-D PWD N-REF,40939150064.0,15696,11,1,1,94,38,48
DGN ORAL U-D LIQ,39103936646.0,102816,247,1,1,894,38,48
AEB ORAL GRANULES,38753418126.0,27120,161,1,1,165,27,48
PGB OTIC DROPS,38107371644.0,13536,37,1,1,180,37,48
DGP ORAL M-D LIQ,33585315105.0,14400,25,1,1,167,33,48
RCT INHALER CAPS,32528295051.0,28416,20,1,1,154,38,48
VGA N-HUM USE LIQS,32296008793.0,5808,37,1,1,74,16,48
BAJ LAYERED TAB RT,29304225719.0,13632,35,1,1,142,38,48
KDE O.TOP LOZENGES,28641137132.0,24384,45,1,1,235,38,48
JGE INHAL. LIQUIDS,28091480004.0,14352,4,1,1,85,38,48
KGP O.TOP M-D LIQ,24945988840.0,4704,11,1,1,57,26,48
FMC AMPOULES I.V.,24339729126.0,181440,213,1,1,1039,38,48
AAF SUBLING TABS,24176966687.0,33984,46,1,1,314,38,48
TTA CREAM VAGINAL,23121413127.0,20544,26,1,1,200,38,48
ABY OTH.COAT.TABS,21848692877.0,12336,9,1,1,137,35,48
ADF CHEWING GUM,21739592395.0,7872,8,1,1,82,35,48
FQA INFUS.AMPOULES,20693639140.0,109392,160,1,1,769,38,48
JWN TRANSDER.PATCH,18206717252.0,60624,25,1,1,302,38,48
MGR SPIRIT TOP.,17582200597.0,7536,11,1,1,91,6,48
MGW LIQ SOAP/WASH,17450078373.0,36864,51,1,1,406,37,48
NVB OPHT.GEL DROP,17105999576.0,5136,14,1,1,60,31,48
ADE LOZENGES,16996326967.0,17856,60,1,1,173,38,48
FPA VIAL,16337199834.0,139728,214,1,1,779,38,48
