market,sales_units,n_rows,n_products,n_dosages,n_dosage2_values,n_brands,n_markets,n_quarters
US,3390706326038.0,941712,1005,91,254,827,1,48
CHINA,2215953011079.0,952272,960,74,175,2711,1,48
BRAZIL,1972503658879.0,725040,985,80,225,1209,1,48
JAPAN,1902563770633.0,523056,925,82,191,305,1,48
RUSSIA,1603586123023.0,592320,981,79,192,921,1,48
GERMANY,1093918006236.0,1077312,1087,99,294,1261,1,48
UK,966146333962.0,633984,1044,90,261,509,1,48
FRANCE,884857199461.0,446304,1006,78,210,335,1,48
TURKEY,650458902858.0,317472,921,63,165,702,1,48
KOREA,573498525977.0,828528,1028,66,173,362,1,48
SPAIN,561216649166.0,460272,1010,74,199,338,1,48
ITALY,560406474348.0,531792,995,84,214,704,1,48
CANADA,517163293838.0,352272,947,83,221,315,1,48
VIETNAM,452290161200.0,1089408,977,75,216,3082,1,48
POLAND,441642852840.0,426624,1014,77,197,649,1,48
AUSTRALIA,396405551057.0,384528,912,91,255,554,1,48
SOUTH AFRICA,311454548551.0,352080,976,79,228,551,1,48
SAUDI ARABIA,271906459513.0,224640,882,75,186,532,1,48
UKRAINE,252158539467.0,330192,946,73,177,541,1,48
ARGENTINA,223329524869.0,384048,993,78,201,343,1,48
MEXICO,209690652774.0,485568,1015,74,187,463,1,48
NETHERLANDS,162736162844.0,375216,853,69,173,242,1,48
SWEDEN,137083089574.0,328704,775,65,178,349,1,48
BELGIUM,131582690623.0,231456,956,77,198,239,1,48
HUNGARY,127475322010.0,184512,899,72,178,325,1,48
KAZAKHSTAN,123667137012.0,244080,810,66,151,577,1,48
CZECH REPUBLIC,123284055831.0,230976,910,66,167,334,1,48
PORTUGAL,121210413261.0,337296,990,74,213,363,1,48
HONG KONG,95194477070.0,283392,936,73,172,681,1,48
AUSTRIA,91227320408.0,268080,945,73,191,344,1,48
NEW ZEALAND,83878020819.0,178560,868,80,214,336,1,48
SWITZERLAND,83144737260.0,201264,905,75,193,236,1,48
CHILE,76256146913.0,244128,900,75,195,229,1,48
FINLAND,74707299730.0,193824,778,69,186,260,1,48
BULGARIA,72761270177.0,185808,842,69,153,279,1,48
DENMARK,72623494092.0,301104,812,68,177,297,1,48
UAE,57502191047.0,228288,900,75,197,557,1,48
CROATIA,42129332496.0,142944,788,60,153,137,1,48
