quarter_label,quarter_start,sales_units,n_rows,n_products,n_dosages,n_dosage2_values,n_brands,n_markets,n_quarters
2014Q2,2014-04-01,376973378236.0,337897,1737,136,444,15055,38,1
2014Q3,2014-07-01,378657759408.0,337897,1737,136,444,15055,38,1
2014Q4,2014-10-01,395753953095.0,337897,1737,136,444,15055,38,1
2015Q1,2015-01-01,397565883606.0,337897,1737,136,444,15055,38,1
2015Q2,2015-04-01,392443526333.0,337897,1737,136,444,15055,38,1
2015Q3,2015-07-01,388269141629.0,337897,1737,136,444,15055,38,1
2015Q4,2015-10-01,403637035805.0,337897,1737,136,444,15055,38,1
2016Q1,2016-01-01,399739018646.0,337897,1737,136,444,15055,38,1
2016Q2,2016-04-01,400052049803.0,337897,1737,136,444,15055,38,1
2016Q3,2016-07-01,393453281089.0,337897,1737,136,444,15055,38,1
2016Q4,2016-10-01,413023732461.0,337897,1737,136,444,15055,38,1
2017Q1,2017-01-01,408575374354.0,337897,1737,136,444,15055,38,1
2017Q2,2017-04-01,409298406010.0,337897,1737,136,444,15055,38,1
2017Q3,2017-07-01,407939223830.0,337897,1737,136,444,15055,38,1
2017Q4,2017-10-01,424962515320.0,337897,1737,136,444,15055,38,1
2018Q1,2018-01-01,419938396574.0,337897,1737,136,444,15055,38,1
2018Q2,2018-04-01,422734953691.0,337897,1737,136,444,15055,38,1
2018Q3,2018-07-01,416662130156.0,337897,1737,136,444,15055,38,1
2018Q4,2018-10-01,433397439276.0,337897,1737,136,444,15055,38,1
2019Q1,2019-01-01,430353012498.0,337897,1737,136,444,15055,38,1
2019Q2,2019-04-01,430736977535.0,337897,1737,136,444,15055,38,1
2019Q3,2019-07-01,431889475338.0,337897,1737,136,444,15055,38,1
2019Q4,2019-10-01,445865796062.0,337897,1737,136,444,15055,38,1
2020Q1,2020-01-01,458024017540.0,337897,1737,136,444,15055,38,1
2020Q2,2020-04-01,402349045892.0,337897,1737,136,444,15055,38,1
2020Q3,2020-07-01,424319403289.0,337897,1737,136,444,15055,38,1
2020Q4,2020-10-01,439657076830.0,337897,1737,136,444,15055,38,1
2021Q1,2021-01-01,423679610841.0,337897,1737,136,444,15055,38,1
2021Q2,2021-04-01,436130839922.0,337897,1737,136,444,15055,38,1
2021Q3,2021-07-01,446419085042.0,337897,1737,136,444,15055,38,1
2021Q4,2021-10-01,468260051506.0,337897,1737,136,444,15055,38,1
2022Q1,2022-01-01,458590721095.0,337897,1737,136,444,15055,38,1
2022Q2,2022-04-01,463170133412.0,337897,1737,136,444,15055,38,1
2022Q3,2022-07-01,462919234234.0,337897,1737,136,444,15055,38,1
2022Q4,2022-10-01,479624158215.0,337897,1737,136,444,15055,38,1
2023Q1,2023-01-01,467731876947.0,337897,1737,136,444,15055,38,1
2023Q2,2023-04-01,480342956486.0,337897,1737,136,444,15055,38,1
2023Q3,2023-07-01,470472509173.0,337897,1737,136,444,15055,38,1
2023Q4,2023-10-01,489892421956.0,337897,1737,136,444,15055,38,1
2024Q1,2024-01-01,476714532112.0,337897,1737,136,444,15055,38,1
2024Q2,2024-04-01,487793920611.0,337897,1737,136,444,15055,38,1
2024Q3,2024-07-01,488254378382.0,337897,1737,136,444,15055,38,1
2024Q4,2024-10-01,497876641724.0,337897,1737,136,444,15055,38,1
2025Q1,2025-01-01,484233805858.0,337897,1737,136,444,15055,38,1
2025Q2,2025-04-01,495502167838.0,337897,1737,136,444,15055,38,1
2025Q3,2025-07-01,498166981816.0,337897,1737,136,444,15055,38,1
2025Q4,2025-10-01,508201310632.0,337897,1737,136,444,15055,38,1
2026Q1,2026-01-01,498070384828.0,337897,1737,136,444,15055,38,1
