metric,value
rows,16219056.0
blank_sales_rows,6926644.0
zero_sales_rows,487.0
positive_sales_rows,9257271.0
negative_sales_rows,34654.0
blank_sales_pct,0.4270682584732428
zero_sales_pct,3.00264084420203e-05
total_sales_units,21128319726936.0
mean_sales_units,2273717.4941162746
std_sales_units,17908956.607666265
p00_sales_units,-43715700.0
p25_sales_units,9780.0
p50_sales_units,102480.0
p75_sales_units,698412.0
p90_sales_units,3272899.200000003
p95_sales_units,7862206.749999989
p99_sales_units,37251395.600000024
p100_sales_units,4627260046.0
