column,missing_values
Column1,0
Column2,0
Column3,0
Column4,0
Column5,0
Column6,155174
Column7,154291
Column8,153109
Column9,153097
Column10,152404
Column11,151908
Column12,150700
Column13,150235
Column14,150090
Column15,149979
Column16,148887
Column17,148526
Column18,148285
Column19,147763
Column20,146889
Column21,146877
Column22,146179
Column23,146511
Column24,145934
Column25,145478
Column26,145171
Column27,144895
Column28,144023
Column29,144595
Column30,144808
Column31,143591
Column32,142535
Column33,142475
Column34,142146
Column35,142206
Column36,140583
Column37,140559
Column38,140037
Column39,139614
Column40,138492
Column41,138860
Column42,138931
Column43,139046
Column44,138694
Column45,138971
Column46,139096
Column47,138872
Column48,138258
Column49,138234
Column50,137661
Column51,137682
Column52,137378
Column53,136915
