metric,value
raw_rows,337897.0
raw_columns,53.0
raw_cells,17908541.0
embedded_metadata_rows_removed,1.0
raw_missing_cells,6926644.0
raw_unique_products,1737.0
raw_unique_dosages,136.0
raw_unique_dosage2_values,444.0
raw_unique_brands,15055.0
raw_unique_markets,38.0
raw_blank_quarterly_sales_cells,6926644.0
prepared_rows,16219056.0
long_rows_before_aggregation,16219056.0
duplicate_key_rows_aggregated,0.0
missing_sales_rows,6926644.0
negative_sales_rows,34654.0
total_sales_units,21128319726936.0
n_products,1737.0
n_dosages,136.0
n_dosage2_values,444.0
n_brands,15055.0
n_markets,38.0
n_quarters,48.0
