quarter_label,quarter_start,sales_units,n_rows,zero_sales_rows,positive_sales_rows,n_products,n_markets,n_brands,zero_sales_pct
2014Q2,2014-04-01,376973378236.0,337897,6,182382,1737,38,15055,1.7756890413350813e-05
2014Q3,2014-07-01,378657759408.0,337897,6,183320,1737,38,15055,1.7756890413350813e-05
2014Q4,2014-10-01,395753953095.0,337897,3,184520,1737,38,15055,8.878445206675407e-06
2015Q1,2015-01-01,397565883606.0,337897,7,184444,1737,38,15055,2.0716372148909284e-05
2015Q2,2015-04-01,392443526333.0,337897,7,185089,1737,38,15055,2.0716372148909284e-05
2015Q3,2015-07-01,388269141629.0,337897,4,185683,1737,38,15055,1.1837926942233875e-05
2015Q4,2015-10-01,403637035805.0,337897,5,186937,1737,38,15055,1.4797408677792344e-05
2016Q1,2016-01-01,399739018646.0,337897,5,187332,1737,38,15055,1.4797408677792344e-05
2016Q2,2016-04-01,400052049803.0,337897,3,187430,1737,38,15055,8.878445206675407e-06
2016Q3,2016-07-01,393453281089.0,337897,7,187613,1737,38,15055,2.0716372148909284e-05
2016Q4,2016-10-01,413023732461.0,337897,7,188687,1737,38,15055,2.0716372148909284e-05
2017Q1,2017-01-01,408575374354.0,337897,12,189039,1737,38,15055,3.5513780826701626e-05
2017Q2,2017-04-01,409298406010.0,337897,5,189236,1737,38,15055,1.4797408677792344e-05
2017Q3,2017-07-01,407939223830.0,337897,7,189824,1737,38,15055,2.0716372148909284e-05
2017Q4,2017-10-01,424962515320.0,337897,11,190594,1737,38,15055,3.2554299091143156e-05
2018Q1,2018-01-01,419938396574.0,337897,14,190370,1737,38,15055,4.143274429781857e-05
2018Q2,2018-04-01,422734953691.0,337897,8,191133,1737,38,15055,2.367585388446775e-05
2018Q3,2018-07-01,416662130156.0,337897,8,190698,1737,38,15055,2.367585388446775e-05
2018Q4,2018-10-01,433397439276.0,337897,16,191280,1737,38,15055,4.73517077689355e-05
2019Q1,2019-01-01,430353012498.0,337897,13,191643,1737,38,15055,3.84732625622601e-05
2019Q2,2019-04-01,430736977535.0,337897,10,191930,1737,38,15055,2.959481735558469e-05
2019Q3,2019-07-01,431889475338.0,337897,10,192268,1737,38,15055,2.959481735558469e-05
2019Q4,2019-10-01,445865796062.0,337897,7,193042,1737,38,15055,2.0716372148909284e-05
2020Q1,2020-01-01,458024017540.0,337897,10,192502,1737,38,15055,2.959481735558469e-05
2020Q2,2020-04-01,402349045892.0,337897,10,192207,1737,38,15055,2.959481735558469e-05
2020Q3,2020-07-01,424319403289.0,337897,5,193527,1737,38,15055,1.4797408677792344e-05
2020Q4,2020-10-01,439657076830.0,337897,10,194621,1737,38,15055,2.959481735558469e-05
2021Q1,2021-01-01,423679610841.0,337897,20,194519,1737,38,15055,5.918963471116938e-05
2021Q2,2021-04-01,436130839922.0,337897,13,194911,1737,38,15055,3.84732625622601e-05
2021Q3,2021-07-01,446419085042.0,337897,9,194921,1737,38,15055,2.663533562002622e-05
2021Q4,2021-10-01,468260051506.0,337897,10,196597,1737,38,15055,2.959481735558469e-05
2022Q1,2022-01-01,458590721095.0,337897,17,196288,1737,38,15055,5.031118950449397e-05
2022Q2,2022-04-01,463170133412.0,337897,4,196865,1737,38,15055,1.1837926942233875e-05
2022Q3,2022-07-01,462919234234.0,337897,11,197392,1737,38,15055,3.2554299091143156e-05
2022Q4,2022-10-01,479624158215.0,337897,12,198584,1737,38,15055,3.5513780826701626e-05
2023Q1,2023-01-01,467731876947.0,337897,15,197794,1737,38,15055,4.439222603337704e-05
2023Q2,2023-04-01,480342956486.0,337897,11,197815,1737,38,15055,3.2554299091143156e-05
2023Q3,2023-07-01,470472509173.0,337897,20,197749,1737,38,15055,5.918963471116938e-05
2023Q4,2023-10-01,489892421956.0,337897,17,198225,1737,38,15055,5.031118950449397e-05
2024Q1,2024-01-01,476714532112.0,337897,16,197759,1737,38,15055,4.73517077689355e-05
2024Q2,2024-04-01,487793920611.0,337897,10,197745,1737,38,15055,2.959481735558469e-05
2024Q3,2024-07-01,488254378382.0,337897,12,197877,1737,38,15055,3.5513780826701626e-05
2024Q4,2024-10-01,497876641724.0,337897,12,198632,1737,38,15055,3.5513780826701626e-05
2025Q1,2025-01-01,484233805858.0,337897,10,198501,1737,38,15055,2.959481735558469e-05
2025Q2,2025-04-01,495502167838.0,337897,12,199028,1737,38,15055,3.5513780826701626e-05
2025Q3,2025-07-01,498166981816.0,337897,8,199262,1737,38,15055,2.367585388446775e-05
2025Q4,2025-10-01,508201310632.0,337897,20,199589,1737,38,15055,5.918963471116938e-05
2026Q1,2026-01-01,498070384828.0,337897,12,199867,1737,38,15055,3.5513780826701626e-05
