first_active_quarter,n_series
2014Q2,182723
2014Q3,7423
2014Q4,5632
2015Q1,4881
2015Q2,4406
2015Q3,3838
2015Q4,3913
2016Q1,3833
2016Q2,3370
2016Q3,3089
2016Q4,3292
2017Q1,3681
2017Q2,3294
2017Q3,3271
2017Q4,3312
2018Q1,3295
2018Q2,3355
2018Q3,2895
2018Q4,3058
2019Q1,3358
2019Q2,3246
2019Q3,3136
2019Q4,3090
2020Q1,3307
2020Q2,3178
2020Q3,3224
2020Q4,3023
2021Q1,3313
2021Q2,3015
2021Q3,2767
2021Q4,2922
2022Q1,3155
2022Q2,2807
2022Q3,2788
2022Q4,3126
2023Q1,3160
2023Q2,2830
2023Q3,2539
2023Q4,2618
2024Q1,2940
2024Q2,2827
2024Q3,2648
2024Q4,2593
2025Q1,2798
2025Q2,3069
2025Q3,2430
2025Q4,2648
2026Q1,2781
