n_quarters,n_series_recorded,n_series_positive
0,0,365
1,13262,13285
2,9608,9653
3,8325,8375
4,8388,8467
5,7664,7689
6,7207,7251
7,7090,7159
8,7107,7214
9,7015,6979
10,6587,6580
11,6485,6523
12,6340,6368
13,6159,6122
14,5776,5731
15,5533,5609
16,5347,5389
17,5355,5359
18,4923,4902
19,5038,5062
20,4997,5014
21,4852,4826
22,4661,4690
23,4669,4663
24,4554,4576
25,4485,4424
26,4223,4185
27,4190,4205
28,4511,4529
29,4008,3934
30,3764,3799
31,3723,3749
32,3787,3795
33,3616,3507
34,3622,3579
35,3862,3870
36,3530,3539
37,3616,3558
38,3428,3435
39,3450,3417
40,3485,3507
41,3502,3446
42,3378,3365
43,3376,3446
44,3751,3766
45,3875,3847
46,4282,4396
47,5394,5639
48,92097,91109
