market,n_series,n_products,n_atc_mapped,n_single_atc,median_history,pct_history_ge12,pct_history_ge24,pct_complete,mean_internal_blank,median_internal_blank,mean_longest_run,p90_longest_run,pct_longrun_ge4,gini_volume,volume_share
JAPAN,925,925,592,389,48.0,0.9913513513513513,0.9686486486486486,0.8529729729729729,0.055135135135135134,0.0,0.04108108108108108,0.0,0.002162162162162162,0.8326892831239701,0.09004803956120874
GERMANY,1087,1087,729,439,48.0,0.9788408463661453,0.9457221711131555,0.8656853725850966,0.2575896964121435,0.0,0.16835326586936522,0.0,0.014719411223551058,0.8622785637110044,0.05177496461497549
CANADA,947,947,661,405,48.0,0.9746568109820486,0.9271383315733897,0.8289334741288279,0.32101372756071805,0.0,0.2249208025343189,0.0,0.021119324181626188,0.8346748869762881,0.024477256143501113
ITALY,995,995,692,432,48.0,0.9688442211055276,0.942713567839196,0.8582914572864322,0.4552763819095477,0.0,0.32261306532663314,0.0,0.02814070351758794,0.8233477002918823,0.02652394897420787
AUSTRALIA,912,912,634,390,48.0,0.9671052631578947,0.9320175438596491,0.831140350877193,0.3519736842105263,0.0,0.26206140350877194,0.0,0.01644736842105263,0.8379425047214788,0.018761811454018836
SPAIN,1010,1010,716,435,48.0,0.9653465346534653,0.9316831683168317,0.8475247524752475,1.0445544554455446,0.0,0.6693069306930693,0.0,0.05247524752475247,0.831297077423933,0.026562294419017054
NETHERLANDS,853,853,624,406,48.0,0.9636576787807737,0.9237983587338804,0.7831184056271981,0.35756154747948415,0.0,0.30246189917936694,0.0,0.02813599062133646,0.8396303034075812,0.007702276610123969
PORTUGAL,990,990,701,432,48.0,0.9636363636363636,0.9303030303030303,0.8242424242424242,0.908080808080808,0.0,0.693939393939394,0.0,0.05454545454545454,0.8095897243801276,0.005736869511041698
FRANCE,1006,1006,687,430,48.0,0.963220675944334,0.9204771371769384,0.841948310139165,0.5745526838966203,0.0,0.4025844930417495,0.0,0.03479125248508946,0.8357900943794736,0.04188015000231733
US,1005,1005,679,408,48.0,0.9621890547263682,0.9393034825870646,0.8646766169154229,0.32338308457711445,0.0,0.25970149253731345,0.0,0.023880597014925373,0.8381737875932265,0.16048158915899347
