arm,config_key,dim,stdc_rho,isotropy_rv,n_small,n_medium,n_large
native,te3_preferred_label,3072,0.5447306514722924,0.1111564197890682,20000,20000,20000
native,te3_atc_path,3072,0.8612536533709331,0.06545644654565945,20000,20000,20000
native,te3_label_path,3072,0.8499014404225159,0.07684219494364418,20000,20000,20000
native,sapbert_atc_path,768,0.7634052067246995,0.12674000111756242,20000,20000,20000
native,sapbert_label_path,768,0.711479234789136,0.18466448937702765,20000,20000,20000
native,lorentz,11,0.8997825331779183,,20000,20000,20000
forecast_dim,te3_preferred_label_d256,256,0.6172655338220698,0.5452727563635065,20000,20000,20000
forecast_dim,te3_atc_path_d256,256,0.8648898197715668,0.41795672505530945,20000,20000,20000
forecast_dim,sapbert_atc_path_d256,256,0.8274885843187266,0.31123538276512186,20000,20000,20000
matched,te3_preferred_label_d10,10,0.4781422885154678,0.9224128850537298,20000,20000,20000
matched,te3_atc_path_d10,10,0.7854636428623468,0.9431035090770796,20000,20000,20000
matched,te3_label_path_d10,10,0.7588964895920657,0.9472310757038702,20000,20000,20000
matched,sapbert_atc_path_d10,10,0.7624267733913719,0.952245567502651,20000,20000,20000
matched,sapbert_label_path_d10,10,0.6940677203532856,0.9730881528319623,20000,20000,20000
