code,x0,depth,norm_rank,subtree_size
A,7.2347493,1.0,0.2,865.0
A01,45.41259,2.0,0.4,47.0
A01A,45.477226,3.0,0.6,46.0
A01AA,43.15672,4.0,0.8,6.0
A01AA01,42.423607,5.0,1.0,0.0
A01AA02,43.562317,5.0,1.0,0.0
A01AA03,42.52842,5.0,1.0,0.0
A01AA04,43.593426,5.0,1.0,0.0
A01AA30,42.42582,5.0,1.0,0.0
A01AA51,42.55309,5.0,1.0,0.0
A01AB,47.529503,4.0,0.8,24.0
A01AB02,46.507652,5.0,1.0,0.0
A01AB03,46.694386,5.0,1.0,0.0
A01AB04,46.190018,5.0,1.0,0.0
A01AB05,48.608772,5.0,1.0,0.0
A01AB06,47.345535,5.0,1.0,0.0
A01AB07,45.794544,5.0,1.0,0.0
A01AB08,45.898655,5.0,1.0,0.0
A01AB09,44.226162,5.0,1.0,0.0
A01AB10,46.441723,5.0,1.0,0.0
A01AB11,45.59648,5.0,1.0,0.0
A01AB12,46.032967,5.0,1.0,0.0
A01AB13,44.909595,5.0,1.0,0.0
A01AB14,48.938572,5.0,1.0,0.0
A01AB15,45.168617,5.0,1.0,0.0
A01AB16,48.465958,5.0,1.0,0.0
A01AB17,42.66533,5.0,1.0,0.0
A01AB18,46.851704,5.0,1.0,0.0
A01AB19,45.5833,5.0,1.0,0.0
A01AB21,47.88362,5.0,1.0,0.0
A01AB22,50.87563,5.0,1.0,0.0
A01AB23,45.76731,5.0,1.0,0.0
A01AB24,48.555344,5.0,1.0,0.0
A01AB25,45.650852,5.0,1.0,0.0
A01AB53,46.828644,5.0,1.0,0.0
A01AC,40.379173,4.0,0.8,5.0
A01AC01,39.5704,5.0,1.0,0.0
A01AC02,40.141388,5.0,1.0,0.0
A01AC03,40.76676,5.0,1.0,0.0
A01AC04,39.444595,5.0,1.0,0.0
A01AC54,40.71001,5.0,1.0,0.0
A01AD,51.334106,4.0,0.8,7.0
A01AD01,50.012756,5.0,1.0,0.0
A01AD02,50.112156,5.0,1.0,0.0
A01AD05,50.1158,5.0,1.0,0.0
A01AD06,52.209976,5.0,1.0,0.0
A01AD07,50.953598,5.0,1.0,0.0
A01AD08,51.25075,5.0,1.0,0.0
A01AD11,50.43588,5.0,1.0,0.0
A02,30.632938,2.0,0.4,102.0
A02A,51.344677,3.0,0.6,32.0
A02AA,52.46425,4.0,0.8,6.0
A02AA01,51.285213,5.0,1.0,0.0
A02AA02,52.20797,5.0,1.0,0.0
A02AA03,52.163956,5.0,1.0,0.0
A02AA04,52.29911,5.0,1.0,0.0
A02AA05,52.358196,5.0,1.0,0.0
A02AA10,52.030437,5.0,1.0,0.0
A02AB,52.16545,4.0,0.8,8.0
A02AB01,51.55158,5.0,1.0,0.0
A02AB02,51.05102,5.0,1.0,0.0
A02AB03,52.225986,5.0,1.0,0.0
A02AB04,52.65386,5.0,1.0,0.0
A02AB05,51.880592,5.0,1.0,0.0
A02AB06,52.120586,5.0,1.0,0.0
A02AB07,51.8966,5.0,1.0,0.0
A02AB10,51.123848,5.0,1.0,0.0
A02AC,47.61045,4.0,0.8,3.0
A02AC01,47.587097,5.0,1.0,0.0
A02AC02,47.076103,5.0,1.0,0.0
A02AC10,47.295055,5.0,1.0,0.0
A02AD,53.09688,4.0,0.8,5.0
A02AD01,52.79223,5.0,1.0,0.0
A02AD02,53.640263,5.0,1.0,0.0
A02AD03,52.911232,5.0,1.0,0.0
A02AD04,52.39651,5.0,1.0,0.0
A02AD05,50.96543,5.0,1.0,0.0
A02AF,49.592167,4.0,0.8,2.0
A02AF01,48.751682,5.0,1.0,0.0
A02AF02,49.275337,5.0,1.0,0.0
A02AG,39.13417,4.0,1.0,0.0
A02AH,40.040802,4.0,1.0,0.0
A02AX,39.784225,4.0,1.0,0.0
A02B,42.258057,3.0,0.6,67.0
A02BA,44.27773,4.0,0.8,10.0
A02BA01,44.50264,5.0,1.0,0.0
A02BA02,43.895348,5.0,1.0,0.0
A02BA03,44.536854,5.0,1.0,0.0
A02BA04,43.775818,5.0,1.0,0.0
A02BA05,42.64052,5.0,1.0,0.0
A02BA06,42.72199,5.0,1.0,0.0
A02BA07,44.21436,5.0,1.0,0.0
A02BA08,42.60814,5.0,1.0,0.0
A02BA51,40.620983,5.0,1.0,0.0
A02BA53,43.57577,5.0,1.0,0.0
A02BB,41.924824,4.0,0.8,2.0
A02BB01,41.851513,5.0,1.0,0.0
A02BB02,41.845356,5.0,1.0,0.0
A02BC,53.3152,4.0,0.8,14.0
A02BC01,47.912647,5.0,1.0,0.0
A02BC02,45.721546,5.0,1.0,0.0
A02BC03,50.289402,5.0,1.0,0.0
A02BC04,52.87652,5.0,1.0,0.0
A02BC05,54.858578,5.0,1.0,0.0
A02BC06,51.84218,5.0,1.0,0.0
A02BC07,52.538467,5.0,1.0,0.0
A02BC08,51.796154,5.0,1.0,0.0
A02BC09,52.704777,5.0,1.0,0.0
A02BC10,52.774033,5.0,1.0,0.0
A02BC11,52.209736,5.0,1.0,0.0
A02BC51,50.060287,5.0,1.0,0.0
A02BC53,51.025753,5.0,1.0,0.0
A02BC54,49.013138,5.0,1.0,0.0
A02BD,49.15531,4.0,0.8,17.0
A02BD01,49.258434,5.0,1.0,0.0
A02BD02,42.259155,5.0,1.0,0.0
A02BD03,49.887054,5.0,1.0,0.0
A02BD04,47.90698,5.0,1.0,0.0
A02BD05,45.79553,5.0,1.0,0.0
A02BD06,45.731613,5.0,1.0,0.0
A02BD07,50.117565,5.0,1.0,0.0
A02BD08,48.22113,5.0,1.0,0.0
A02BD09,49.26975,5.0,1.0,0.0
A02BD10,45.16426,5.0,1.0,0.0
A02BD11,48.982895,5.0,1.0,0.0
A02BD12,47.764236,5.0,1.0,0.0
A02BD13,42.521873,5.0,1.0,0.0
A02BD14,45.051453,5.0,1.0,0.0
A02BD15,49.079834,5.0,1.0,0.0
A02BD16,49.41785,5.0,1.0,0.0
A02BD17,49.21613,5.0,1.0,0.0
A02BX,51.636375,4.0,0.8,19.0
A02BX01,45.481094,5.0,1.0,0.0
A02BX02,51.827297,5.0,1.0,0.0
A02BX03,47.78797,5.0,1.0,0.0
A02BX04,51.850853,5.0,1.0,0.0
A02BX05,51.142834,5.0,1.0,0.0
A02BX06,48.006615,5.0,1.0,0.0
A02BX07,50.47334,5.0,1.0,0.0
A02BX08,49.341045,5.0,1.0,0.0
A02BX09,45.575333,5.0,1.0,0.0
A02BX10,50.33474,5.0,1.0,0.0
A02BX11,53.530853,5.0,1.0,0.0
A02BX12,50.62105,5.0,1.0,0.0
A02BX13,50.291145,5.0,1.0,0.0
A02BX14,50.215416,5.0,1.0,0.0
A02BX15,44.926247,5.0,1.0,0.0
A02BX16,50.365814,5.0,1.0,0.0
A02BX51,49.6845,5.0,1.0,0.0
A02BX71,45.379517,5.0,1.0,0.0
A02BX77,51.79933,5.0,1.0,0.0
A02X,48.792313,3.0,1.0,0.0
A03,46.580383,2.0,0.4,121.0
A03A,78.08273,3.0,0.6,61.0
A03AA,85.0118,4.0,0.8,9.0
A03AA01,81.40841,5.0,1.0,0.0
A03AA03,83.513565,5.0,1.0,0.0
A03AA04,84.41956,5.0,1.0,0.0
A03AA05,84.709694,5.0,1.0,0.0
A03AA06,83.671135,5.0,1.0,0.0
A03AA07,83.87641,5.0,1.0,0.0
A03AA08,83.92911,5.0,1.0,0.0
A03AA09,84.61323,5.0,1.0,0.0
A03AA30,82.94636,5.0,1.0,0.0
A03AB,84.29734,4.0,0.8,21.0
A03AB01,82.24881,5.0,1.0,0.0
A03AB02,79.54651,5.0,1.0,0.0
A03AB03,84.81386,5.0,1.0,0.0
A03AB04,81.163475,5.0,1.0,0.0
A03AB05,81.58896,5.0,1.0,0.0
A03AB06,81.104706,5.0,1.0,0.0
A03AB07,73.211235,5.0,1.0,0.0
A03AB08,78.5119,5.0,1.0,0.0
A03AB09,87.85795,5.0,1.0,0.0
A03AB10,82.596405,5.0,1.0,0.0
A03AB11,72.26936,5.0,1.0,0.0
A03AB12,77.21387,5.0,1.0,0.0
A03AB13,86.055824,5.0,1.0,0.0
A03AB14,86.23673,5.0,1.0,0.0
A03AB15,82.99584,5.0,1.0,0.0
A03AB16,80.13764,5.0,1.0,0.0
A03AB17,87.26712,5.0,1.0,0.0
A03AB18,83.87939,5.0,1.0,0.0
A03AB19,77.540565,5.0,1.0,0.0
A03AB21,78.499115,5.0,1.0,0.0
A03AB53,84.758,5.0,1.0,0.0
A03AC,77.36224,4.0,0.8,3.0
A03AC02,76.27293,5.0,1.0,0.0
A03AC04,76.40611,5.0,1.0,0.0
A03AC05,75.91883,5.0,1.0,0.0
A03AD,83.62945,4.0,0.8,3.0
A03AD01,82.27595,5.0,1.0,0.0
A03AD02,81.71209,5.0,1.0,0.0
A03AD30,82.936424,5.0,1.0,0.0
A03AE,85.73696,4.0,0.8,2.0
A03AE01,84.81649,5.0,1.0,0.0
A03AE03,85.058,5.0,1.0,0.0
A03AX,94.26061,4.0,0.8,17.0
A03AX01,84.6132,5.0,1.0,0.0
A03AX02,88.075615,5.0,1.0,0.0
A03AX03,86.65099,5.0,1.0,0.0
A03AX04,93.84807,5.0,1.0,0.0
A03AX05,83.455696,5.0,1.0,0.0
A03AX06,93.625824,5.0,1.0,0.0
A03AX07,92.57756,5.0,1.0,0.0
A03AX08,91.631485,5.0,1.0,0.0
A03AX09,93.624214,5.0,1.0,0.0
A03AX10,87.828,5.0,1.0,0.0
A03AX11,94.350334,5.0,1.0,0.0
A03AX12,91.190544,5.0,1.0,0.0
A03AX13,88.16702,5.0,1.0,0.0
A03AX14,89.384544,5.0,1.0,0.0
A03AX15,94.05743,5.0,1.0,0.0
A03AX30,94.87052,5.0,1.0,0.0
A03AX58,89.35395,5.0,1.0,0.0
A03B,80.20103,3.0,0.6,11.0
A03BA,77.140854,4.0,0.8,3.0
A03BA01,76.63781,5.0,1.0,0.0
A03BA03,75.59264,5.0,1.0,0.0
A03BA04,75.555,5.0,1.0,0.0
A03BB,80.53718,4.0,0.8,6.0
A03BB01,78.84461,5.0,1.0,0.0
A03BB02,77.60276,5.0,1.0,0.0
A03BB03,79.22527,5.0,1.0,0.0
A03BB04,79.383224,5.0,1.0,0.0
A03BB05,79.07286,5.0,1.0,0.0
A03BB06,79.12357,5.0,1.0,0.0
A03C,76.70045,3.0,0.6,19.0
A03CA,76.40574,4.0,0.8,11.0
A03CA01,76.53793,5.0,1.0,0.0
A03CA02,75.625916,5.0,1.0,0.0
A03CA03,74.725006,5.0,1.0,0.0
A03CA04,75.30415,5.0,1.0,0.0
A03CA05,76.71009,5.0,1.0,0.0
A03CA06,73.745926,5.0,1.0,0.0
A03CA07,72.390594,5.0,1.0,0.0
A03CA08,74.22721,5.0,1.0,0.0
A03CA09,76.31686,5.0,1.0,0.0
A03CA30,75.07518,5.0,1.0,0.0
A03CA34,76.31632,5.0,1.0,0.0
A03CB,77.32027,4.0,0.8,5.0
A03CB01,77.0023,5.0,1.0,0.0
A03CB02,76.87737,5.0,1.0,0.0
A03CB03,76.1498,5.0,1.0,0.0
A03CB04,75.702255,5.0,1.0,0.0
A03CB31,75.20225,5.0,1.0,0.0
A03CC,64.43891,4.0,1.0,0.0
A03D,81.52811,3.0,0.6,11.0
A03DA,81.986435,4.0,0.8,7.0
A03DA01,79.88513,5.0,1.0,0.0
A03DA02,79.464264,5.0,1.0,0.0
A03DA03,81.20037,5.0,1.0,0.0
A03DA04,78.811874,5.0,1.0,0.0
A03DA05,79.54255,5.0,1.0,0.0
A03DA06,80.23422,5.0,1.0,0.0
A03DA07,79.18808,5.0,1.0,0.0
A03DB,76.301476,4.0,0.8,1.0
A03DB04,75.71287,5.0,1.0,0.0
A03DC,71.04451,4.0,1.0,0.0
A03E,71.8461,3.0,0.75,2.0
A03EA,71.10952,4.0,1.0,0.0
A03ED,71.098,4.0,1.0,0.0
A03F,88.08532,3.0,0.6,11.0
A03FA,88.44363,4.0,0.8,10.0
A03FA01,85.81536,5.0,1.0,0.0
A03FA02,88.6965,5.0,1.0,0.0
A03FA03,87.888245,5.0,1.0,0.0
A03FA04,86.166176,5.0,1.0,0.0
A03FA05,87.366455,5.0,1.0,0.0
A03FA06,87.56539,5.0,1.0,0.0
A03FA07,85.11114,5.0,1.0,0.0
A03FA08,84.627525,5.0,1.0,0.0
A03FA09,87.01665,5.0,1.0,0.0
A03FA10,85.85144,5.0,1.0,0.0
A04,35.426956,2.0,0.4,20.0
A04A,35.437824,3.0,0.6,19.0
A04AA,30.036211,4.0,0.8,6.0
A04AA01,28.677927,5.0,1.0,0.0
